Issue Key,Summary,Description
IPN-1,Unable to login after password reset attempt (Key: IPN-1),"User reports they cannot access the system after password reset.

--- Unique Key Data ---
JIRA Key: IPN-1
Summary: Unable to login after password reset attempt"
IPN-2,User cannot login due to session timeout issue on multiple browsers (Key: IPN-2),"System immediately logs out the user after login.

Steps to reproduce:
1. Go to the application.
2. Attempt the operation (e.g., login, password reset, report generation).
3. Observe the issue as described.

Expected behavior:
- The system should work normally without errors.

Actual behavior:
- The system fails with the described issue.

Impact:
- This affects multiple users in production, blocking critical functionality.
- Needs urgent investigation and fix.

--- Unique Key Data ---
JIRA Key: IPN-2
Summary: User cannot login due to session timeout issue on multiple browsers"
IPN-3,UI alignment issue with login button on homepage for small screens (Key: IPN-3),"Login button overlaps with other elements on mobile view.

Steps to reproduce:
1. Go to the application.
2. Attempt the operation (e.g., login, password reset, report generation).
3. Observe the issue as described.

Expected behavior:
- The system should work normally without errors.

Actual behavior:
- The system fails with the described issue.

Impact:
- This affects multiple users in production, blocking critical functionality.
- Needs urgent investigation and fix.

--- Unique Key Data ---
JIRA Key: IPN-3
Summary: UI alignment issue with login button on homepage for small screens"
IPN-4,Password reset email not received by users across regions (Key: IPN-4),Email delivery seems broken for password reset feature.
IPN-5,Server returns error 500 when user tries login after inactivity (Key: IPN-5),"Server shows 500 error under specific login conditions.

Steps to reproduce:
1. Go to the application.
2. Attempt the operation (e.g., login, password reset, report generation).
3. Observe the issue as described.

Expected behavior:
- The system should work normally without errors.

Actual behavior:
- The system fails with the described issue.

Impact:
- This affects multiple users in production, blocking critical functionality.
- Needs urgent investigation and fix.

Business impact: This issue affects revenue as users are unable to complete transactions. Several complaints have already been raised by enterprise customers, putting the client relationship at risk.

Technical details: Log analysis indicates possible race conditions or database deadlocks, which might explain why the system behaves differently under varying load conditions. Developers suspect unoptimized queries are at fault."
IPN-6,Dashboard loads extremely slowly after login on production (Key: IPN-6),"Dashboard taking too long to load data.

Steps to reproduce:
1. Go to the application.
2. Attempt the operation (e.g., login, password reset, report generation).
3. Observe the issue as described.

Expected behavior:
- The system should work normally without errors.

Actual behavior:
- The system fails with the described issue.

Impact:
- This affects multiple users in production, blocking critical functionality.
- Needs urgent investigation and fix.

--- Unique Key Data ---
JIRA Key: IPN-6
Summary: Dashboard loads extremely slowly after login on production"
IPN-7,Profile update fails silently without any error message (Key: IPN-7),"User profile changes are not saved after update attempt.

Business impact: This issue affects revenue as users are unable to complete transactions. Several complaints have already been raised by enterprise customers, putting the client relationship at risk.

Additional observations: Users have reported inconsistent behavior where the error sometimes resolves on its own after multiple retries. However, this is not reliable and has caused significant frustration among end users.

Temporary workaround: Clearing the browser cache or using a different browser sometimes helps, but this is not a sustainable solution and cannot be advised officially to end users."
IPN-8,New user signup fails with validation errors not displayed (Key: IPN-8),"Signup blocked due to frontend validation errors.

Steps to reproduce:
1. Go to the application.
2. Attempt the operation (e.g., login, password reset, report generation).
3. Observe the issue as described.

Expected behavior:
- The system should work normally without errors.

Actual behavior:
- The system fails with the described issue.

Impact:
- This affects multiple users in production, blocking critical functionality.
- Needs urgent investigation and fix.

--- Unique Key Data ---
JIRA Key: IPN-8
Summary: New user signup fails with validation errors not displayed"
IPN-9,Session timeout happens too quickly leading to user frustration (Key: IPN-9),"User sessions end within a minute of login.

Steps to reproduce:
1. Go to the application.
2. Attempt the operation (e.g., login, password reset, report generation).
3. Observe the issue as described.

Expected behavior:
- The system should work normally without errors.

Actual behavior:
- The system fails with the described issue.

Impact:
- This affects multiple users in production, blocking critical functionality.
- Needs urgent investigation and fix.

--- Unique Key Data ---
JIRA Key: IPN-9
Summary: Session timeout happens too quickly leading to user frustration"
IPN-10,Mobile app crashes on opening the settings page consistently (Key: IPN-10),"App closes unexpectedly when navigating to settings.

--- Unique Key Data ---
JIRA Key: IPN-10
Summary: Mobile app crashes on opening the settings page consistently"
IPN-11,Search functionality returns empty results even for valid queries (Key: IPN-11),"Search box not returning any results despite valid input.

Steps to reproduce:
1. Go to the application.
2. Attempt the operation (e.g., login, password reset, report generation).
3. Observe the issue as described.

Expected behavior:
- The system should work normally without errors.

Actual behavior:
- The system fails with the described issue.

Impact:
- This affects multiple users in production, blocking critical functionality.
- Needs urgent investigation and fix.

--- Unique Key Data ---
JIRA Key: IPN-11
Summary: Search functionality returns empty results even for valid queries"
IPN-12,Push notifications not received on Android devices after update (Key: IPN-12),"Notifications stopped working after mobile app update.

Steps to reproduce:
1. Go to the application.
2. Attempt the operation (e.g., login, password reset, report generation).
3. Observe the issue as described.

Expected behavior:
- The system should work normally without errors.

Actual behavior:
- The system fails with the described issue.

Impact:
- This affects multiple users in production, blocking critical functionality.
- Needs urgent investigation and fix.

--- Unique Key Data ---
JIRA Key: IPN-12
Summary: Push notifications not received on Android devices after update"
IPN-13,Dark mode rendering broken on analytics and reports screen (Key: IPN-13),"Dark mode UI broken for graphs and tables.

--- Unique Key Data ---
JIRA Key: IPN-13
Summary: Dark mode rendering broken on analytics and reports screen"
